,vintage,dependents,branch_code,days_since_last_transaction,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,customer_id,gender,occupation,customer_nw_category,age,city,churn
11524,1705.0,0.0,1825.0,31.0,3368.32,3368.32,3368.32,3648.44,0.46,0.46,0.46,0.46,3368.32,3368.32,12309.0,Female,student,2.0,22.0,396.0,0
11525,4928.0,0.0,42.0,31.0,1566.86,2452.57,2177.58,2453.76,0.49,200.49,143.34,57.63,1876.22,2288.98,12310.0,Male,salaried,3.0,64.0,1388.0,0
11526,1077.0,0.0,1911.0,294.0,14366.94,14366.94,14366.94,14371.4,0.16,0.16,0.16,0.16,14366.94,14366.94,12312.0,Male,self_employed,2.0,48.0,980.0,0
11527,1627.0,0.0,11.0,114.0,2578.59,2650.01,2668.87,944.14,0.53,0.53,0.53,0.53,2598.29,2668.45,12313.0,Female,salaried,3.0,36.0,1096.0,0
11529,2049.0,0.0,1130.0,26.0,289.0,700.71,2742.51,3636.43,11428.64,4685.79,11842.93,7584.0,2079.02,2538.9,12315.0,Male,self_employed,2.0,44.0,834.0,0
11532,4365.0,0.0,1794.0,116.0,2361.15,3038.44,3532.57,4052.38,0.34,0.34,746.2,714.63,2808.6,3199.0,12319.0,Female,self_employed,2.0,73.0,1232.0,0
11533,1770.0,0.0,190.0,6.0,9462.19,7603.72,2330.4,71.58,5753.74,0.41,1586.13,2046.16,5784.57,1050.81,12320.0,Female,self_employed,2.0,34.0,514.0,0
11539,1270.0,0.0,1316.0,31.0,6053.92,6053.92,6053.92,5987.08,0.4,0.4,0.4,0.4,6053.92,6053.92,12326.0,Female,salaried,3.0,35.0,1020.0,0
11540,2288.0,0.0,1879.0,33.0,3938.86,4224.99,4569.94,5454.66,0.01,642.87,0.01,0.01,4122.76,4137.35,12327.0,Male,retired,3.0,77.0,1057.0,0
11541,2746.0,0.0,419.0,31.0,6662.65,6381.22,6307.27,5898.19,0.07,0.07,0.07,0.07,6535.78,6283.06,12328.0,Female,self_employed,2.0,64.0,834.0,0
11543,308.0,2.0,2361.0,54.0,2125.79,2157.21,2032.61,2345.72,0.59,572.01,3.44,2.96,2149.33,2069.27,12330.0,Female,salaried,3.0,46.0,1368.0,0
11545,4632.0,1.0,62.0,19.0,3616.5,3682.66,3469.21,3086.22,0.78,0.62,233.0,837.84,3531.67,3444.72,12332.0,Female,salaried,2.0,36.0,241.0,0
11546,955.0,0.0,53.0,41.0,2961.91,5819.05,3468.87,766.64,0.2,2659.96,0.2,11.17,2961.91,4293.67,12333.0,Female,salaried,2.0,31.0,146.0,0
11552,2649.0,0.0,172.0,31.0,5330.65,5044.94,5048.33,5049.57,0.14,0.14,0.14,0.14,5202.58,5040.33,12340.0,Male,salaried,2.0,66.0,1534.0,0
11556,339.0,0.0,54.0,29.0,1221.29,5535.89,2389.54,423.02,0.44,3750.82,4286.16,0.44,3448.03,1915.71,12345.0,Female,self_employed,3.0,65.0,649.0,0
11558,555.0,0.0,2544.0,31.0,1979.49,14162.09,11083.18,14081.27,0.24,0.24,12143.1,0.24,4930.05,14160.56,12347.0,Male,self_employed,3.0,65.0,627.0,1
11559,375.0,0.0,1293.0,35.0,3793.52,3144.85,2411.77,582.83,0.31,643.17,123.07,0.31,3793.81,2572.5,12348.0,Female,self_employed,3.0,36.0,1388.0,1
11561,4218.0,0.0,249.0,0.0,3113.47,3298.02,2403.41,1065.62,1359.6,795.4,1546.37,658.87,2371.68,2765.69,12350.0,Male,salaried,3.0,63.0,1096.0,0
11562,1020.0,0.0,2606.0,99.0,4132.85,4132.85,4132.85,2730.94,0.2,0.2,0.2,0.2,4132.85,4132.85,12351.0,Male,self_employed,2.0,43.0,887.0,0
11563,2776.0,0.0,516.0,31.0,400.39,357.54,5716.76,146.12,0.39,0.39,800.39,10607.19,614.68,9180.18,12352.0,Male,salaried,3.0,27.0,834.0,1
11564,4445.0,0.0,127.0,95.0,4980.21,4532.35,4603.92,19577.03,0.04,0.04,0.04,0.04,4806.74,4532.35,12353.0,Female,self_employed,1.0,90.0,745.0,0
11567,691.0,0.0,3466.0,72.0,16527.94,16527.94,16868.71,18051.09,0.27,0.27,0.27,285.99,16527.94,16656.97,12356.0,Male,self_employed,1.0,44.0,996.0,0
11568,3373.0,0.0,50.0,174.0,1771.49,1771.49,1771.49,1733.42,0.03,0.03,0.03,0.03,1771.49,1771.49,12357.0,Male,retired,2.0,73.0,1621.0,0
11569,4371.0,0.0,288.0,11.0,1653.87,1801.67,2393.06,3174.01,428.96,0.39,576.76,5796.82,1800.9,1862.58,12358.0,Female,self_employed,2.0,41.0,1020.0,0
11570,749.0,0.0,953.0,0.0,5166.56,4266.56,4370.96,4335.88,928.91,0.34,0.34,0.34,4535.03,4274.85,12359.0,Male,self_employed,2.0,47.0,1501.0,0
11571,366.0,0.0,2479.0,16.0,1531.03,1419.96,1461.34,1269.92,111.29,111.47,0.21,232.79,1485.07,1399.4,12360.0,Female,self_employed,2.0,71.0,1388.0,0
11572,2740.0,0.0,120.0,20.0,452.51,5088.22,3227.67,8075.01,2897.56,2897.56,390.41,390.41,3449.7,4286.66,12361.0,Female,retired,1.0,79.0,409.0,0
11573,1567.0,0.0,122.0,112.0,3546.7,5502.48,7608.3,7377.95,0.04,0.04,0.04,137.59,4210.58,8123.79,12362.0,Male,self_employed,1.0,49.0,243.0,0
11574,1993.0,0.0,3199.0,291.0,884.03,1810.47,1737.55,3125.48,0.26,0.26,998.13,154.3,1348.83,1864.27,12363.0,Female,self_employed,3.0,29.0,19.0,1
11575,984.0,0.0,1775.0,23.0,1713.26,3124.0,2244.83,1132.87,467.67,745.8,2857.56,0.41,2359.19,2729.29,12364.0,Male,salaried,3.0,51.0,1307.0,0
11576,3374.0,0.0,5.0,49.0,2438.16,1251.91,1653.53,3150.48,0.04,214.33,1132.29,871.91,930.46,1568.26,12365.0,Female,self_employed,1.0,40.0,1020.0,0
11577,4833.0,0.0,13.0,31.0,4890.55,4890.55,4890.55,4859.57,0.31,0.31,0.31,0.31,4890.55,4890.55,12366.0,Female,student,3.0,26.0,1020.0,0
11578,4773.0,0.0,1244.0,48.0,5175.1,9253.34,8972.61,9270.17,0.43,59.0,4000.43,10.43,8144.78,9277.33,12367.0,Male,self_employed,3.0,39.0,1494.0,0
11580,1186.0,0.0,466.0,100.0,1669.25,1669.25,1669.25,1788.23,0.06,0.06,0.06,0.06,1669.25,1669.25,12369.0,Female,self_employed,3.0,70.0,834.0,0
11582,1701.0,0.0,104.0,3.0,6009.9,5759.0,6173.59,7429.14,651.71,771.14,947.33,1044.37,6133.13,5722.01,12371.0,Male,salaried,3.0,42.0,1232.0,0
11583,2740.0,2.0,90.0,0.0,28699.25,27148.97,14626.25,7103.86,1550.69,21105.57,0.4,0.4,27500.75,10612.8,12372.0,Male,salaried,2.0,41.0,575.0,0
11585,4459.0,0.0,19.0,76.0,3011.61,2998.11,3427.96,3196.46,0.23,0.23,15.27,867.99,2986.64,3734.6,12374.0,Female,self_employed,2.0,35.0,1020.0,0
11588,6393.0,2.0,501.0,7.0,12747.17,14690.35,14007.23,15719.26,9010.02,19448.27,14870.34,11148.11,15408.09,13852.61,12377.0,Male,self_employed,1.0,56.0,1020.0,0
11589,4958.0,0.0,157.0,171.0,2131.63,2245.91,2723.15,5507.42,0.43,0.43,0.43,497.41,2573.01,2633.2,12378.0,Male,retired,3.0,80.0,146.0,0
11590,7073.0,3.0,622.0,5.0,6011.32,5003.79,5894.04,14309.03,470.94,486.87,27.7,123.81,5565.41,4842.34,12379.0,Male,salaried,2.0,62.0,575.0,0
11592,626.0,0.0,1631.0,19.0,1597.03,1641.5,1637.28,1698.78,0.95,0.17,27.31,0.17,1603.06,1645.78,12381.0,Male,salaried,3.0,50.0,797.0,0
11594,5453.0,0.0,1376.0,45.0,3911.57,4664.88,4659.94,1974.68,0.39,3.24,510.04,3483.09,4169.77,4419.49,12383.0,Male,salaried,3.0,43.0,1096.0,0
11595,4237.0,1.0,166.0,0.0,16446.73,15786.19,10697.75,12385.3,817.42,16710.56,36457.09,27285.96,14182.29,7650.45,12384.0,Male,self_employed,1.0,89.0,334.0,0
11597,5032.0,0.0,36.0,31.0,2615.73,2627.99,2627.15,2611.29,0.04,0.04,0.04,0.04,2625.46,2627.99,12386.0,Female,salaried,3.0,59.0,630.0,0
11599,6100.0,3.0,1201.0,28.0,11031.04,8016.68,10378.86,9593.66,4260.39,0.67,423.66,351.74,11646.05,7892.28,12388.0,Male,salaried,2.0,44.0,1020.0,0
11600,4754.0,0.0,2722.0,21.0,348.09,2274.41,1760.7,6076.8,7143.24,7143.24,9071.81,5928.96,2622.17,1802.71,12389.0,Male,salaried,2.0,42.0,531.0,0
11601,2619.0,0.0,4.0,20.0,1977.15,2539.66,1973.55,1593.14,6.77,5.7,564.41,272.97,2144.6,2587.54,12390.0,Male,self_employed,3.0,63.0,334.0,0
11602,2243.0,0.0,2783.0,67.0,1088.43,1088.43,1986.01,355.52,0.04,0.04,0.04,0.04,1088.43,1088.43,12391.0,Male,self_employed,2.0,70.0,501.0,0
11609,4944.0,3.0,146.0,40.0,9537.53,9537.53,9551.06,9659.27,0.66,16.02,0.66,0.66,9537.53,9528.11,12398.0,Male,self_employed,2.0,46.0,1577.0,0
11610,607.0,0.0,614.0,151.0,6981.19,7038.33,6685.99,5073.54,0.09,0.09,642.94,0.09,7026.51,6704.83,12399.0,Male,salaried,3.0,27.0,1096.0,0
11611,4220.0,0.0,345.0,28.0,8289.06,6860.49,7304.9,5399.29,1428.76,0.19,0.19,0.19,8239.8,6860.49,12400.0,Female,retired,2.0,83.0,834.0,0
11612,1284.0,0.0,11.0,31.0,1040.41,1792.86,1687.75,1830.38,0.56,0.56,753.01,0.56,1466.43,1792.86,12401.0,Female,self_employed,2.0,58.0,1096.0,0
11613,5964.0,0.0,6.0,14.0,4468.93,4929.7,9904.09,10638.48,648.68,643.39,984.96,390.86,4251.85,4750.61,12402.0,Female,self_employed,1.0,42.0,15.0,0
11615,1626.0,0.0,1903.0,31.0,2329.19,2329.19,2281.39,1686.28,0.17,0.17,0.17,0.17,2329.19,2329.19,12404.0,Male,self_employed,3.0,74.0,745.0,0
11616,2577.0,0.0,163.0,45.0,30483.74,23224.1,33130.02,34156.21,0.2,67915.85,14.36,28647.57,28664.21,36222.83,12405.0,Female,self_employed,1.0,48.0,1020.0,1
11620,3581.0,3.0,76.0,14.0,6055.0,3228.08,5868.29,5782.89,8.5,0.21,304.99,2754.84,3290.53,5501.2,12411.0,Male,salaried,2.0,49.0,146.0,1
11621,1394.0,0.0,297.0,87.0,958.77,2123.8,1982.95,932.02,0.36,0.36,1165.39,0.36,1169.57,2123.8,12412.0,Male,self_employed,2.0,34.0,11.0,0
11622,1326.0,0.0,118.0,5.0,2156.16,1201.55,1591.27,1764.36,1119.27,0.46,164.66,280.42,1746.89,1357.3,12413.0,Female,self_employed,2.0,26.0,1020.0,0
11626,807.0,0.0,612.0,14.0,115.43,72.06,1816.43,4289.67,2543.43,1571.49,5000.06,5171.49,494.48,672.06,12419.0,Male,self_employed,2.0,40.0,409.0,1
11627,3133.0,0.0,77.0,31.0,10709.61,61.22,3460.61,3874.9,0.36,0.36,0.36,0.36,10234.05,61.22,12420.0,Female,salaried,1.0,42.0,146.0,0
11628,2621.0,0.0,1242.0,63.0,7618.84,2156.54,3231.68,3420.44,0.27,0.27,251.6,134.14,2695.15,2761.9,12421.0,Male,self_employed,3.0,56.0,834.0,0
11629,2609.0,2.0,1069.0,219.0,25452.36,25521.08,46723.36,75317.15,0.17,0.17,0.17,37553.09,25721.34,49812.6,12422.0,Male,self_employed,2.0,42.0,1096.0,0
11633,2964.0,0.0,240.0,31.0,2628.48,3962.5,1641.52,65.64,0.14,10286.87,1549.01,5327.36,3286.22,1630.82,12426.0,Male,salaried,1.0,30.0,1020.0,0
11634,2113.0,0.0,554.0,111.0,3115.39,2123.57,2147.74,1472.39,0.1,0.1,85.81,0.1,2635.45,2029.0,12428.0,Female,salaried,3.0,38.0,649.0,0
11635,6358.0,0.0,1292.0,0.0,1054.21,1938.41,1981.8,1965.84,1332.76,914.4,2701.9,1095.53,1321.82,1761.79,12429.0,Female,self_employed,2.0,66.0,1111.0,0
11636,2544.0,0.0,1558.0,6.0,26635.32,26195.89,26719.77,30154.91,1559.8,770.79,1500.86,1700.43,25814.02,26374.02,12430.0,Male,self_employed,3.0,76.0,1096.0,0
11637,1911.0,0.0,13.0,65.0,1160.04,1160.04,5333.04,3584.51,0.23,0.23,0.23,30143.09,1160.04,4952.66,12431.0,Female,retired,1.0,76.0,1020.0,1
11638,2571.0,0.0,939.0,58.0,1442.07,1685.86,1649.3,2086.92,0.64,24.04,230.59,136.9,1543.78,1849.21,12432.0,Male,self_employed,2.0,65.0,1221.0,0
11639,1194.0,0.0,930.0,7.0,2763.4,5106.03,1901.39,2184.11,4686.04,4650.14,12600.1,5457.24,3674.56,1061.64,12433.0,Male,salaried,2.0,42.0,575.0,0
11640,3502.0,0.0,37.0,312.0,9853.23,9853.23,9853.23,9791.62,0.03,0.03,0.03,0.03,9853.23,9853.23,12434.0,Female,self_employed,1.0,47.0,965.0,0
11641,1543.0,1.0,3021.0,32.0,32596.67,38771.6,40736.63,43474.77,0.61,32.04,6175.54,6429.19,35729.08,41301.83,12435.0,Male,salaried,2.0,33.0,1073.0,0
11642,5271.0,0.0,1376.0,31.0,1758.59,1756.3,1734.11,1220.92,0.6,0.6,0.6,0.6,1757.48,1753.45,12436.0,Male,self_employed,3.0,62.0,1096.0,0
11644,2134.0,0.0,328.0,26.0,3843.2,3178.91,3537.58,3265.76,1057.56,0.41,393.27,136.13,4014.13,3283.98,12438.0,Male,retired,3.0,69.0,1096.0,0
11645,6142.0,0.0,1307.0,219.0,1591.8,1591.8,1609.47,1703.16,0.37,0.37,0.37,36.09,1591.8,1597.56,12439.0,Male,self_employed,1.0,39.0,318.0,0
11646,714.0,2.0,1631.0,95.0,3097.52,4340.03,4509.3,1028.37,0.06,0.06,571.49,0.06,3873.08,4702.81,12440.0,Male,self_employed,2.0,37.0,797.0,1
11647,2954.0,0.0,3272.0,62.0,6303.39,6317.67,5970.7,5171.56,0.14,0.14,0.14,0.14,6304.86,6319.05,12441.0,Male,self_employed,3.0,43.0,656.0,0
11648,361.0,0.0,2846.0,33.0,1144.88,1144.88,23090.03,53287.5,0.11,6000.11,0.11,20000.11,1144.88,24408.1,12442.0,Male,self_employed,1.0,29.0,516.0,1
11650,824.0,0.0,2210.0,27.0,848.79,277.36,3459.39,7627.41,714.6,0.31,286.03,7143.17,855.69,2051.56,12444.0,Male,self_employed,2.0,34.0,1338.0,1
11653,250.0,2.0,757.0,252.0,1210.8,9531.83,9360.87,10197.99,0.64,0.64,8897.16,840.44,8789.32,9430.43,12447.0,Female,salaried,2.0,61.0,578.0,0
11655,1396.0,0.0,2295.0,24.0,2568.37,2532.66,3111.28,3935.79,35.86,0.14,0.14,1428.71,2563.44,2809.15,12449.0,Male,self_employed,3.0,42.0,202.0,0
11656,224.0,2.0,124.0,11.0,1259.85,5026.04,1981.49,448.4,8111.81,13930.9,2040.86,6383.52,1652.73,3326.94,12450.0,Male,self_employed,3.0,33.0,334.0,1
11657,1003.0,0.0,1434.0,45.0,6282.55,6282.55,6387.33,5418.53,0.23,5712.06,0.23,7197.26,6282.55,5111.71,12451.0,Male,self_employed,2.0,27.0,762.0,1
11663,1328.0,0.0,2550.0,262.0,1998.02,1998.02,2082.51,2128.92,0.17,0.17,0.17,143.03,1998.02,2108.62,12457.0,Male,self_employed,3.0,68.0,89.0,0
11665,265.0,0.0,2925.0,21.0,16867.8,13022.3,14504.33,12383.13,4377.66,0.57,532.0,86.29,16856.41,13077.6,12459.0,Male,self_employed,3.0,39.0,1235.0,0
11666,2148.0,2.0,1858.0,24.0,14997.94,13547.7,11396.24,5312.53,2781.59,6314.76,1106.93,971.07,15265.52,12056.31,12460.0,Male,salaried,3.0,59.0,334.0,0
11667,1285.0,0.0,1527.0,116.0,13196.38,13196.38,13196.38,4870.16,0.3,0.3,0.3,0.3,13196.38,13196.38,12461.0,Male,salaried,2.0,42.0,1135.0,0
11668,1705.0,0.0,1208.0,13.0,102937.1,106927.46,99692.05,2348.95,328.71,314.43,4791.3,1499.45,103833.55,107861.57,12462.0,Female,self_employed,2.0,35.0,146.0,0
11669,1421.0,0.0,399.0,60.0,43219.98,54016.55,40189.54,49078.25,0.56,0.56,10797.13,1429.13,47420.33,58993.51,12463.0,Male,salaried,2.0,62.0,578.0,0
11670,320.0,0.0,90.0,6.0,17.34,187.97,2626.87,8298.77,4177.91,1586.14,403.44,425.36,214.89,1965.16,12465.0,Male,self_employed,2.0,61.0,575.0,0
11672,5317.0,0.0,33.0,13.0,60776.48,60640.77,60538.64,59769.34,100.13,68.76,116.58,108.4,60740.73,60490.39,12467.0,Female,self_employed,1.0,64.0,169.0,0
11673,2076.0,0.0,1799.0,26.0,5281.46,5208.64,4649.88,3088.61,42.96,0.1,825.96,1297.57,5491.86,4886.22,12468.0,Female,salaried,2.0,49.0,1020.0,0
11674,2486.0,0.0,393.0,46.0,12783.23,11645.25,11786.85,11102.77,0.4,14.69,8.69,64.11,12235.23,11661.27,12469.0,Male,self_employed,2.0,43.0,1096.0,0
11676,1402.0,0.0,2593.0,108.0,5756.73,5756.73,5756.73,5416.78,0.46,0.46,0.46,0.46,5756.73,5756.73,12471.0,Male,retired,2.0,68.0,986.0,0
11677,5484.0,1.0,19.0,25.0,3122.99,3669.17,3757.72,5241.28,49.33,49.46,290.72,304.04,3128.25,3832.9,12472.0,Female,self_employed,2.0,44.0,1020.0,0
11679,2075.0,0.0,1336.0,31.0,3339.55,3339.55,3339.55,3324.57,0.4,0.4,0.4,0.4,3339.55,3339.55,12474.0,Male,student,1.0,32.0,905.0,0
11680,2803.0,0.0,655.0,17.0,1471.6,1912.21,1754.23,444.05,34.51,60.27,485.38,718.38,1718.09,2139.74,12476.0,Female,salaried,2.0,32.0,980.0,1
11682,282.0,0.0,155.0,178.0,5210.33,3793.6,2106.56,291.65,0.41,0.41,0.41,0.41,4298.33,1788.52,12478.0,Male,salaried,3.0,52.0,611.0,0
11683,1072.0,0.0,47.0,297.0,1500.44,1500.44,1500.44,1491.65,0.47,0.47,0.47,0.47,1500.44,1500.44,12480.0,Female,student,2.0,22.0,1020.0,0
11684,695.0,0.0,1342.0,199.0,20419.49,20419.49,20419.49,20254.96,0.37,0.37,0.37,0.37,20419.49,20419.49,12481.0,Female,self_employed,1.0,51.0,1067.0,0
11690,4106.0,0.0,3654.0,62.0,3198.81,5255.96,3705.95,15285.01,0.33,0.33,2057.47,3557.47,4227.38,5659.64,12487.0,Female,self_employed,2.0,77.0,1181.0,0
11691,5919.0,3.0,27.0,31.0,2608.89,2608.89,2608.89,2592.37,0.11,0.11,0.11,0.11,2608.89,2608.89,12488.0,Male,self_employed,3.0,57.0,1111.0,0
11692,3348.0,0.0,442.0,0.0,7379.83,7027.81,7264.21,3768.5,877.85,0.54,571.97,296.81,7015.89,7206.87,12489.0,Male,retired,3.0,69.0,1020.0,0
11693,2853.0,0.0,141.0,3.0,655.5,235.46,1599.94,4705.34,133.45,928.6,142.89,3571.46,620.12,1257.4,12490.0,Male,retired,2.0,84.0,334.0,0
11697,1396.0,2.0,1125.0,77.0,5445.01,5154.39,5492.82,5252.43,0.61,0.61,481.34,629.21,4835.67,5067.16,12494.0,Male,self_employed,2.0,34.0,1436.0,0
11698,584.0,0.0,3595.0,42.0,2583.87,2797.15,2431.56,1140.48,0.03,385.87,213.31,0.03,2597.66,2571.29,12495.0,Male,self_employed,3.0,29.0,1467.0,1
11699,6039.0,0.0,145.0,47.0,5459.12,5456.55,5453.81,5404.59,0.59,7.29,0.59,0.59,5457.61,5453.96,12496.0,Male,self_employed,2.0,90.0,1020.0,0
11702,3919.0,0.0,353.0,31.0,3608.38,3420.53,3118.96,1253.0,0.59,0.59,286.3,0.59,2959.02,3506.68,12499.0,Male,self_employed,3.0,43.0,146.0,0
11703,2009.0,0.0,152.0,153.0,3781.69,3781.69,3698.48,3327.64,0.34,0.34,0.34,0.34,3781.69,3665.49,12500.0,Female,student,1.0,24.0,1258.0,0
11704,1214.0,0.0,1041.0,13.0,13415.84,13422.44,13310.07,14605.93,1.46,265.83,112.4,63.43,13429.71,13298.91,12501.0,Male,self_employed,1.0,49.0,623.0,0
11705,1540.0,0.0,622.0,23.0,2552.11,7249.08,2474.93,92.19,2143.26,0.4,6257.54,0.4,4659.73,2643.27,12502.0,Female,self_employed,2.0,33.0,1200.0,0
11711,5130.0,0.0,211.0,17.0,7718.58,7492.79,8401.8,10511.82,314.53,314.53,71.67,549.57,7577.07,7559.38,12508.0,Male,self_employed,1.0,70.0,1020.0,0
11714,4109.0,0.0,72.0,10.0,10441.35,10845.64,9264.0,10565.08,21429.17,21429.17,21833.47,16008.17,9644.88,4919.11,12511.0,Male,self_employed,1.0,62.0,1603.0,0
11718,2921.0,0.0,476.0,187.0,2663.84,2813.91,2890.97,5549.9,0.67,0.67,150.74,143.53,2788.04,2910.69,12515.0,Female,self_employed,3.0,60.0,61.0,1
11721,3467.0,0.0,396.0,35.0,51044.23,7928.65,16387.66,1381.26,0.7,12077.47,43606.39,1312.7,42468.47,4796.84,12519.0,Male,salaried,2.0,69.0,491.0,0
11722,1326.0,0.0,1760.0,31.0,6864.87,6864.87,6864.87,6821.38,0.53,0.53,0.53,0.53,6864.87,6864.87,12520.0,Female,self_employed,2.0,85.0,191.0,0
11723,2498.0,0.0,67.0,173.0,1199.71,1213.99,2186.13,1751.66,0.19,0.19,0.19,7143.04,1204.14,4121.83,12521.0,Female,student,2.0,23.0,1494.0,0
11724,6082.0,2.0,1307.0,0.0,3383.6,2604.01,3545.25,2461.53,4047.53,1661.18,600.29,2137.79,3376.61,3062.75,12522.0,Male,self_employed,3.0,41.0,996.0,0
11725,5373.0,0.0,89.0,118.0,3764.8,3752.68,3748.57,3701.51,0.6,0.6,0.6,0.6,3759.11,3751.03,12523.0,Female,salaried,3.0,38.0,1111.0,0
11726,3064.0,0.0,241.0,84.0,7049.26,7049.26,7036.66,6593.2,0.63,0.63,0.63,0.63,7049.26,7049.26,12524.0,Male,self_employed,2.0,71.0,664.0,0
11727,371.0,0.0,1217.0,0.0,4269.38,2053.01,2319.8,1078.5,3942.89,7418.46,3734.02,7249.14,3867.9,1529.89,12525.0,Male,self_employed,3.0,26.0,1016.0,0
11729,4445.0,0.0,238.0,81.0,9785.16,10007.44,10066.41,9934.82,0.6,0.6,0.6,129.17,9894.02,10065.5,12527.0,Male,self_employed,3.0,61.0,983.0,0
11730,569.0,0.0,409.0,35.0,748.9,920.33,1497.76,3058.63,0.43,429.0,171.86,1143.29,813.92,1261.34,12528.0,Male,retired,3.0,66.0,44.0,0
11732,2182.0,0.0,364.0,18.0,2564.1,2061.2,1827.13,2716.95,457.79,100.64,924.7,1152.79,2039.59,1730.35,12530.0,Male,salaried,3.0,35.0,623.0,0
11735,2785.0,0.0,565.0,6.0,2586.95,2215.52,2099.9,3195.69,871.29,0.57,1072.0,0.57,1960.84,2215.52,12533.0,Male,retired,1.0,71.0,680.0,1
11736,439.0,0.0,1340.0,20.0,8769.6,7341.03,7685.86,7867.49,1429.27,0.7,0.7,0.7,8375.52,7341.03,12534.0,Male,self_employed,2.0,48.0,905.0,0
11737,2660.0,0.0,749.0,31.0,4734.2,4734.2,4734.89,4711.31,0.31,0.31,0.31,0.31,4734.2,4734.2,12535.0,Female,retired,2.0,70.0,403.0,0
11739,242.0,0.0,1437.0,3.0,1583.01,1582.96,1759.56,895.93,1013.34,3415.5,1064.87,5114.63,1300.38,1833.25,12537.0,Male,self_employed,2.0,90.0,649.0,0
11740,1194.0,0.0,1850.0,18.0,1495.99,1891.93,1802.34,1913.49,14285.94,0.23,14643.09,0.23,1639.35,1917.89,12538.0,Male,salaried,3.0,35.0,460.0,0
11741,2739.0,1.0,1347.0,45.0,561.7,842.92,1533.73,691.42,0.06,495.11,281.27,514.99,644.39,621.69,12539.0,Male,salaried,2.0,56.0,1096.0,1
11742,1878.0,0.0,530.0,0.0,17960.62,5346.57,7936.36,10629.32,14285.94,491.86,249.82,8229.2,5018.12,7212.47,12540.0,Male,self_employed,1.0,63.0,834.0,0
11744,237.0,2.0,905.0,48.0,1279.77,2594.3,1541.82,518.21,0.21,1714.5,1314.74,146.93,1578.32,2171.21,12542.0,Male,self_employed,3.0,54.0,1096.0,1
11745,3371.0,0.0,634.0,23.0,2530.72,1303.9,1760.16,224.34,1000.33,3000.33,2854.04,2920.47,1923.75,1180.39,12543.0,Female,self_employed,2.0,52.0,905.0,1
11747,3596.0,0.0,387.0,9.0,7220.08,6812.94,11087.1,5123.79,407.79,407.79,0.64,214.93,6911.22,6835.06,12545.0,Female,self_employed,2.0,69.0,1463.0,0
11750,2116.0,0.0,218.0,28.0,32850.88,28094.49,16978.62,133.22,4760.79,34285.79,0.07,6289.82,32850.88,17974.9,12548.0,Male,student,1.0,28.0,623.0,0
11752,2205.0,0.0,386.0,3.0,1525.08,1953.28,1712.05,2745.0,6893.54,1545.09,7143.17,2963.17,1945.87,2257.68,12550.0,Female,self_employed,1.0,56.0,334.0,0
11753,3202.0,0.0,16.0,6.0,15287.26,14965.47,14862.01,13535.34,450.66,0.66,128.87,129.23,15041.43,15065.01,12551.0,Female,self_employed,2.0,44.0,1020.0,0
11754,430.0,0.0,828.0,136.0,21061.57,20881.8,20935.93,18759.57,0.44,0.44,0.44,0.44,21024.38,20884.56,12552.0,Male,salaried,2.0,49.0,1440.0,0
11758,2063.0,0.0,836.0,14.0,2431.74,2465.57,2667.79,4018.49,714.75,0.3,750.23,189.3,2963.69,2600.82,12557.0,Male,self_employed,3.0,45.0,1020.0,0
11759,1796.0,0.0,640.0,75.0,2581.08,2814.75,2545.96,1967.27,0.31,0.31,5.41,0.31,2618.03,2658.07,12558.0,Male,self_employed,2.0,42.0,243.0,0
11760,1072.0,3.0,2190.0,40.0,2978.13,2978.13,2973.14,3029.26,0.57,14.5,0.57,0.57,2978.13,2969.59,12559.0,Male,self_employed,3.0,28.0,1457.0,0
11761,742.0,0.0,1846.0,3.0,718.8,2016.62,2149.73,2315.69,1128.63,1571.49,2428.63,3021.55,776.24,2164.58,12560.0,Male,retired,3.0,90.0,848.0,0
11762,1366.0,2.0,335.0,75.0,6371.38,6517.71,6546.88,6878.33,0.66,0.66,103.27,137.24,6420.0,6561.95,12561.0,Male,salaried,2.0,50.0,393.0,0
11763,1966.0,0.0,368.0,3.0,12775.96,11061.68,11226.7,10960.81,643.09,0.23,0.23,0.23,11556.75,11061.68,12562.0,Female,self_employed,1.0,58.0,623.0,0
11765,1324.0,3.0,2796.0,69.0,4535.66,4004.23,6193.98,9565.98,0.27,0.27,742.06,4459.1,4665.5,5809.13,12564.0,Male,self_employed,3.0,47.0,489.0,1
11767,190.0,0.0,1050.0,41.0,4795.22,2726.82,2369.18,7589.71,0.33,2500.33,786.04,437.38,4775.93,1582.33,12566.0,Male,self_employed,2.0,35.0,146.0,0
11769,1055.0,0.0,2710.0,27.0,3472.05,804.09,1711.01,2696.96,114.24,64.59,520.37,100.8,2408.83,909.84,12568.0,Male,retired,2.0,72.0,146.0,0
11771,878.0,2.0,2927.0,48.0,1783.85,1701.92,1453.94,3463.58,0.19,71.63,189.87,189.87,1742.23,1425.34,12570.0,Male,salaried,3.0,34.0,318.0,0
11772,2039.0,0.0,522.0,30.0,21071.4,21071.4,20417.63,19843.4,0.17,1013.16,0.17,0.17,21071.4,20124.46,12571.0,Male,student,1.0,25.0,1020.0,0
